date,airline,flight,departure_airport,arrival_airport,departure_time,arrival_time,duration,type,Cabin,price,status,message
2025-05-16,四川航空,3U8834,北京首都国际机场(PEK),重庆江北国际机场(CKG),下午11:05,上午1:55,2小时50分钟,直达,经济舱,1920,计划,预计下午11:05出发
2025-05-16,厦门航空,MF5588,北京首都国际机场(PEK),重庆江北国际机场(CKG),下午11:05,上午1:55,2小时50分钟,直达,经济舱,2190,计划,预计下午11:05出发
2025-05-16,中国东方航空,MU3502,北京首都国际机场(PEK),重庆江北国际机场(CKG),下午11:05,上午1:55,2小时50分钟,直达,经济舱,2190,计划,预计下午11:05出发
2025-05-16,成都航空,EU7282,北京首都国际机场(PEK),重庆江北国际机场(CKG),下午11:05,上午1:55,2小时50分钟,直达,经济舱,2190,计划,预计下午11:05出发
2025-05-16,中国南方航空,CZ9588,北京首都国际机场(PEK),重庆江北国际机场(CKG),下午11:05,上午1:55,2小时50分钟,直达,经济舱,2210,计划,预计下午11:05出发
2025-05-16,四川航空,3U1922,上海浦东国际机场(PVG),广州白云国际机场(CAN),下午11:50,上午2:15,2小时25分钟,直达,经济舱,930,计划,预计下午11:50出发
2025-05-16,中国南方航空,CZ8212,上海浦东国际机场(PVG),广州白云国际机场(CAN),下午11:50,上午2:15,2小时25分钟,直达,经济舱,940,计划,预计下午11:50出发
2025-05-16,厦门航空,MF4484,上海浦东国际机场(PVG),广州白云国际机场(CAN),下午11:50,上午2:15,2小时25分钟,直达,经济舱,960,计划,预计下午11:50出发
2025-05-16,吉祥航空,HO7639,上海浦东国际机场(PVG),广州白云国际机场(CAN),下午11:50,上午2:15,2小时25分钟,直达,经济舱,1280,计划,预计下午11:50出发
2025-05-16,春秋航空,9C6107,上海浦东国际机场(PVG),重庆江北国际机场(CKG),下午11:15,上午2:05,2小时50分钟,直达,经济舱,660,计划,预计下午11:15出发
2025-05-16,ShenzhenAirlines,ZH9113,深圳宝安国际机场(SZX),北京首都国际机场(PEK),下午11:05,上午2:35,3小时30分钟,直达,经济舱,1270,计划,预计下午11:05出发
2025-05-16,ShandongAirlines,SC9095,深圳宝安国际机场(SZX),北京首都国际机场(PEK),下午11:05,上午2:35,3小时30分钟,直达,经济舱,1270,计划,预计下午11:05出发
2025-05-16,KunmingAirlines,KY9653,深圳宝安国际机场(SZX),北京首都国际机场(PEK),下午11:05,上午2:35,3小时30分钟,直达,经济舱,1900,计划,预计下午11:05出发
2025-05-16,AirChina,CA3413,深圳宝安国际机场(SZX),北京首都国际机场(PEK),下午11:05,上午2:35,3小时30分钟,直达,经济舱,1900,计划,预计下午11:05出发
2025-05-16,天津航空,GS6450,深圳宝安国际机场(SZX),重庆江北国际机场(CKG),下午11:55,上午2:15,2小时20分钟,直达,经济舱,1270,计划,预计下午11:55出发
2025-05-16,海南航空,HU7397,深圳宝安国际机场(SZX),杭州萧山国际机场(HGH),下午11:05,上午1:10,2小时5分钟,直达,经济舱,1050,计划,预计下午11:05出发
2025-05-16,中国国际航空,CA1736,深圳宝安国际机场(SZX),杭州萧山国际机场(HGH),下午11:30,上午1:30,未知飞行时间分钟,直达,经济舱,1670,计划,预计下午11:30出发
2025-05-16,深圳航空,ZH1736,深圳宝安国际机场(SZX),杭州萧山国际机场(HGH),下午11:30,上午1:30,未知飞行时间分钟,直达,经济舱,1770,计划,预计下午11:30出发
2025-05-16,山东航空,SC5620,深圳宝安国际机场(SZX),杭州萧山国际机场(HGH),下午11:30,上午1:30,未知飞行时间分钟,直达,经济舱,1770,计划,预计下午11:30出发
2025-05-16,中国南方航空,CZ3440,重庆江北国际机场(CKG),广州白云国际机场(CAN),下午11:50,上午1:55,2小时5分钟,直达,经济舱,820,计划,预计下午11:50出发
2025-05-16,四川航空,3U1148,重庆江北国际机场(CKG),广州白云国际机场(CAN),下午11:50,上午1:55,2小时5分钟,直达,经济舱,890,计划,预计下午11:50出发
2025-05-16,厦门航空,MF1259,重庆江北国际机场(CKG),广州白云国际机场(CAN),下午11:50,上午1:55,2小时5分钟,直达,经济舱,900,计划,预计下午11:50出发
2025-05-16,春秋航空,9C8616,重庆江北国际机场(CKG),深圳宝安国际机场(SZX),下午11:25,上午1:45,2小时20分钟,直达,经济舱,630,计划,预计下午11:25出发
2025-05-16,中国国际航空,CA4367,重庆江北国际机场(CKG),深圳宝安国际机场(SZX),下午11:30,上午1:55,2小时25分钟,直达,经济舱,830,计划,预计下午11:30出发
2025-05-16,山东航空,SC5099,重庆江北国际机场(CKG),深圳宝安国际机场(SZX),下午11:30,上午1:55,2小时25分钟,直达,经济舱,1110,计划,预计下午11:30出发
2025-05-16,四川航空,3U3179,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午7:05,上午9:45,2小时40分钟,直达,经济舱,620,计划,预计上午7:05出发
2025-05-16,山东航空,SC5115,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午7:30,上午9:55,2小时25分钟,直达,经济舱,670,计划,预计上午7:30出发
2025-05-16,中国国际航空,CA1759,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午7:30,上午9:55,2小时25分钟,直达,经济舱,670,计划,预计上午7:30出发
2025-05-16,厦门航空,MF8471,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午7:50,上午10:15,2小时25分钟,直达,经济舱,670,计划,预计上午7:50出发
2025-05-16,河北航空,NS8471,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午7:50,上午10:15,2小时25分钟,直达,经济舱,670,计划,预计上午7:50出发
2025-05-16,华夏航空,G59139,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午7:50,上午10:15,2小时25分钟,直达,经济舱,670,计划,预计上午7:50出发
2025-05-16,中国南方航空,CZ4376,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午7:50,上午10:15,2小时25分钟,直达,经济舱,680,计划,预计上午7:50出发
2025-05-16,西部航空,PN6436,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),下午7:50,下午10:30,2小时40分钟,直达,经济舱,700,计划,预计下午7:50出发
2025-05-16,BeijingCapitalAirlines,JD5695,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),下午6:45,下午9:25,2小时40分钟,直达,经济舱,720,计划,预计下午6:45出发
2025-05-16,天津航空,GS6590,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),下午12:25,下午3:10,2小时45分钟,直达,经济舱,720,计划,预计下午12:25出发
2025-05-16,厦门航空,MF8477,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),下午9:15,上午12:05,2小时50分钟,直达,经济舱,720,计划,预计下午9:15出发
2025-05-16,LoongAir,GJ8691,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午6:20,上午9:30,3小时10分钟,直达,经济舱,730,计划,预计上午6:20出发
2025-05-16,LoongAir,GJ3411,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午7:05,上午9:45,2小时40分钟,直达,经济舱,750,计划,预计上午7:05出发
2025-05-16,LoongAir,GJ3574,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午10:40,下午1:20,2小时40分钟,直达,经济舱,750,计划,预计上午10:40出发
2025-05-16,四川航空,3U8082,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午10:40,下午1:20,2小时40分钟,直达,经济舱,750,计划,预计上午10:40出发
2025-05-16,中国东方航空,MU3374,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午10:40,下午1:20,2小时40分钟,直达,经济舱,750,计划,预计上午10:40出发
2025-05-16,成都航空,EU7372,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午10:40,下午1:20,2小时40分钟,直达,经济舱,750,计划,预计上午10:40出发
2025-05-16,天津航空,GS6582,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午11:20,下午2:05,2小时45分钟,直达,经济舱,750,计划,预计上午11:20出发
2025-05-16,厦门航空,MF8475,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),下午12:50,下午3:45,2小时55分钟,直达,经济舱,750,计划,预计下午12:50出发
2025-05-16,中国南方航空,CZ9035,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午7:05,上午9:45,2小时40分钟,直达,经济舱,760,计划,预计上午7:05出发
2025-05-16,中国南方航空,CZ9410,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午10:40,下午1:20,2小时40分钟,直达,经济舱,760,计划,预计上午10:40出发
2025-05-16,四川航空,3U2571,杭州萧山国际机场(HGH),重庆江北国际机场(CKG),上午7:50,上午10:15,2小时25分钟,直达,经济舱,770,计划,预计上午7:50出发
