date,airline,flight,departure_airport,arrival_airport,departure_time,arrival_time,duration,type,Cabin,price
2025-05-18,扬子江航空官网,Y87613,北京首都国际机场(PEK),上海浦东国际机场(PVG),上午7:30,上午10:00,2小时30分钟,直达,经济舱,1230
2025-05-18,海南航空,HU7613,北京首都国际机场(PEK),上海浦东国际机场(PVG),上午7:30,上午10:00,2小时30分钟,直达,经济舱,1230
2025-05-18,中国东方航空,MU5154,北京首都国际机场(PEK),上海浦东国际机场(PVG),上午11:30,下午1:40,2小时10分钟,直达,经济舱,1870
2025-05-18,中国东方航空,MU5164,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午7:30,下午9:55,2小时25分钟,直达,经济舱,1870
2025-05-18,厦门航空,MF3567,北京首都国际机场(PEK),上海浦东国际机场(PVG),上午11:30,下午1:40,2小时10分钟,直达,经济舱,1900
2025-05-18,厦门航空,MF3575,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午7:30,下午9:55,2小时25分钟,直达,经济舱,1900
2025-05-18,吉祥航空,HO5540,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午7:30,下午9:55,2小时25分钟,直达,经济舱,1900
2025-05-18,厦门航空,MF3517,北京首都国际机场(PEK),上海浦东国际机场(PVG),上午7:00,上午9:20,2小时20分钟,直达,经济舱,2200
2025-05-18,厦门航空,MF3571,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午2:30,下午4:55,2小时25分钟,直达,经济舱,2200
2025-05-18,中国东方航空,MU5158,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午2:30,下午4:55,2小时25分钟,直达,经济舱,2200
2025-05-18,山东航空,SC5406,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午8:30,下午10:50,2小时20分钟,直达,经济舱,2220
2025-05-18,中国国际航空,CA1883,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午8:30,下午10:50,2小时20分钟,直达,经济舱,2220
2025-05-18,深圳航空,ZH1145,北京首都国际机场(PEK),太原武宿国际机场(TYN),上午7:00,上午8:15,1小时15分钟,直达,经济舱,740
2025-05-18,昆明航空,KY1145,北京首都国际机场(PEK),太原武宿国际机场(TYN),上午7:00,上午8:15,1小时15分钟,直达,经济舱,740
