airline,flight,airport_from,airport_to,day_of_week,time,length,delay
厦门航空,MF3517,北京首都,上海浦东,1,07:00:00,140,12
东方航空,MU5100,北京首都,上海浦东,1,07:00:00,140,12
金鹏航空,Y87613,北京首都,上海浦东,1,07:30:00,150,8
海南航空,HU7613,北京首都,上海浦东,1,07:30:00,150,8
达美航空公司,DL6468,北京首都,上海浦东,1,11:30:00,135,12
厦门航空,MF3567,北京首都,上海浦东,1,11:30:00,135,12
东方航空,MU5154,北京首都,上海浦东,1,11:30:00,135,12
厦门航空,MF3571,北京首都,上海浦东,1,14:30:00,145,3
东方航空,MU5158,北京首都,上海浦东,1,14:30:00,145,3
上海吉祥航空,HO5540,北京首都,上海浦东,1,19:30:00,145,10
深圳航空有限责任公司,ZH1145,北京首都,太原武宿,1,07:00:00,75,19
新西兰航空公司,NZ3900,北京首都,太原武宿,1,07:00:00,75,19
昆明航空,KY1145,北京首都,太原武宿,1,07:00:00,75,19
华夏航空,G58139,北京首都,太原武宿,1,07:00:00,75,19
国际航空,CA1145,北京首都,太原武宿,1,07:00:00,75,19
深圳航空有限责任公司,ZH1359,北京首都,广州白云,1,07:00:00,205,22
国际航空,CA1359,北京首都,广州白云,1,07:00:00,205,22
深圳航空有限责任公司,ZH1351,北京首都,广州白云,1,07:55:00,205,9
国际航空,CA1351,北京首都,广州白云,1,07:55:00,205,9
海南航空,HU7801,北京首都,广州白云,1,08:30:00,200,6
深圳航空有限责任公司,ZH1321,北京首都,广州白云,1,08:55:00,205,14
国际航空,CA1321,北京首都,广州白云,1,08:55:00,205,14
海南航空,HU7803,北京首都,广州白云,1,09:30:00,200,20
深圳航空有限责任公司,ZH1317,北京首都,广州白云,1,09:55:00,205,9
国际航空,CA1317,北京首都,广州白云,1,09:55:00,205,9
深圳航空有限责任公司,ZH1393,北京首都,深圳宝安,1,06:30:00,220,9
国际航空,CA1393,北京首都,深圳宝安,1,06:30:00,220,9
国际航空,CA3412,北京首都,深圳宝安,1,06:55:00,315,7
昆明航空,KY9112,北京首都,深圳宝安,1,06:55:00,315,7
山东航空,SC9112,北京首都,深圳宝安,1,06:55:00,315,7
深圳航空有限责任公司,ZH9112,北京首都,深圳宝安,1,06:55:00,315,7
山东航空,SC9096,北京首都,深圳宝安,1,07:30:00,225,7
昆明航空,KY9654,北京首都,深圳宝安,1,07:30:00,225,7
国际航空,CA3414,北京首都,深圳宝安,1,07:30:00,225,7
深圳航空有限责任公司,ZH9114,北京首都,深圳宝安,1,07:30:00,225,7
山东航空,SC5035,北京首都,重庆江北,1,07:00:00,160,24
深圳航空有限责任公司,ZH1437,北京首都,重庆江北,1,07:00:00,160,24
华夏航空,G58216,北京首都,重庆江北,1,07:00:00,160,24
国际航空,CA1437,北京首都,重庆江北,1,07:00:00,160,24
天津航空有限责任公司,GS5167,北京首都,重庆江北,1,07:55:00,180,5
海南航空,HU7167,北京首都,重庆江北,1,07:55:00,180,5
华夏航空,G58212,北京首都,重庆江北,1,08:00:00,160,19
深圳航空有限责任公司,ZH1431,北京首都,重庆江北,1,08:00:00,160,19
山东航空,SC5031,北京首都,重庆江北,1,08:00:00,160,19
国际航空,CA1431,北京首都,重庆江北,1,08:00:00,160,19
海南航空,HU7577,北京首都,杭州萧山,1,06:55:00,145,5
山东航空,SC5596,北京首都,杭州萧山,1,07:30:00,135,33
深圳航空有限责任公司,ZH1704,北京首都,杭州萧山,1,07:30:00,135,33
国际航空,CA1704,北京首都,杭州萧山,1,07:30:00,135,33
海南航空,HU7277,北京首都,杭州萧山,1,07:55:00,140,17
深圳航空有限责任公司,ZH1706,北京首都,杭州萧山,1,08:30:00,135,8
山东航空,SC5597,北京首都,杭州萧山,1,08:30:00,135,8
国际航空,CA1706,北京首都,杭州萧山,1,08:30:00,135,8
深圳航空有限责任公司,ZH1708,北京首都,杭州萧山,1,09:30:00,135,61
山东航空,SC5598,北京首都,杭州萧山,1,09:30:00,135,61
四川航空,3U5167,上海浦东,北京首都,1,08:00:00,145,13
厦门航空,MF3564,上海浦东,北京首都,1,08:00:00,145,13
东方航空,MU5151,上海浦东,北京首都,1,08:00:00,145,13
厦门航空,MF3568,上海浦东,北京首都,1,10:30:00,150,12
